Student number,Student age,Average hours spent studying on campus,Student mark achieved,Percentage,Time taken on examination (minutes)
S001,25-35,4-5,59,45.38461538461539,51
S002,over 45,1-2,85,65.38461538461539,172
S003,over 45,1-2,57,43.84615384615385,16
S004,25-35,2-3,58,44.61538461538462,112
S005,18-25,1-2,127,97.6923076923077,42
S007,35-45,1-2,42,32.30769230769231,54
S008,35-45,1-2,112,86.15384615384616,41
S009,35-45,2-3,12,9.230769230769232,109
S010,25-35,1-2,112,86.15384615384616,126
S011,35-45,4-5,22,16.923076923076923,22
S012,25-35,1-2,120,92.3076923076923,23
S013,over 45,1-2,118,90.76923076923076,102
S014,25-35,4-5,108,83.07692307692308,4
S015,over 45,1-2,28,21.53846153846154,20
S016,35-45,1-2,40,30.76923076923077,8
S017,35-45,4-5,45,34.61538461538461,130
S018,35-45,2-3,51,39.23076923076923,171
S019,25-35,4-5,93,71.53846153846153,75
S020,18-25,2-3,116,89.23076923076924,57
S021,35-45,4-5,127,97.6923076923077,5
S022,25-35,2-3,27,20.76923076923077,69
S023,35-45,1-2,67,51.53846153846153,172
S024,25-35,4-5,14,10.76923076923077,88
S025,25-35,4-5,7,5.384615384615385,58
S026,18-25,1-2,128,98.46153846153848,94
S027,25-35,4-5,6,4.615384615384616,32
S028,18-25,4-5,118,90.76923076923076,90
S029,35-45,4-5,124,95.3846153846154,79
S030,over 45,1-2,113,86.92307692307692,35
S031,35-45,2-3,7,5.384615384615385,168
S032,35-45,1-2,51,39.23076923076923,122
S033,35-45,2-3,55,42.30769230769231,82
S034,25-35,4-5,79,60.76923076923077,159
S035,18-25,4-5,123,94.6153846153846,54
S036,35-45,4-5,72,55.38461538461539,26
S037,18-25,1-2,64,49.23076923076923,110
S038,over 45,4-5,25,19.230769230769237,17
S039,35-45,1-2,41,31.538461538461537,78
S040,35-45,1-2,124,95.3846153846154,180
S041,35-45,4-5,40,30.76923076923077,68
S042,over 45,1-2,128,98.46153846153848,130
S043,over 45,1-2,32,24.615384615384617,68
S044,25-35,4-5,57,43.84615384615385,170
S045,18-25,4-5,25,19.230769230769237,124
S046,35-45,1-2,8,6.153846153846154,100
S047,over 45,4-5,123,94.6153846153846,150
S048,35-45,1-2,110,84.61538461538461,155
S049,over 45,4-5,50,38.46153846153847,46
S050,18-25,2-3,39,30.0,165
S052,over 45,1-2,47,36.15384615384615,176
S053,over 45,1-2,106,81.53846153846153,66
S054,over 45,1-2,69,53.07692307692308,72
S055,35-45,2-3,31,23.846153846153847,135
S056,25-35,4-5,15,11.538461538461538,70
S057,25-35,1-2,42,32.30769230769231,140
S058,over 45,4-5,42,32.30769230769231,38
S059,35-45,4-5,130,100.0,82
S060,over 45,2-3,15,11.538461538461538,25
S061,25-35,1-2,103,79.23076923076923,33
S062,25-35,1-2,28,21.53846153846154,26
S063,25-35,1-2,55,42.30769230769231,154
S064,35-45,2-3,5,3.8461538461538463,123
S065,over 45,1-2,111,85.38461538461539,96
S066,18-25,4-5,115,88.46153846153845,94
S067,35-45,4-5,94,72.3076923076923,163
S068,25-35,2-3,125,96.15384615384616,35
S069,18-25,1-2,3,2.307692307692308,15
S070,35-45,1-2,79,60.76923076923077,130
S071,18-25,2-3,10,7.6923076923076925,143
S072,25-35,2-3,9,6.923076923076923,70
S073,over 45,4-5,58,44.61538461538462,61
S074,18-25,4-5,109,83.84615384615385,34
S075,18-25,4-5,106,81.53846153846153,137
S076,35-45,4-5,109,83.84615384615385,76
S077,18-25,4-5,57,43.84615384615385,152
S078,25-35,4-5,56,43.07692307692308,65
S079,35-45,4-5,30,23.07692307692308,32
S080,18-25,2-3,54,41.53846153846154,142
S081,18-25,4-5,6,4.615384615384616,26
S082,25-35,2-3,2,1.5384615384615383,10
S083,18-25,1-2,45,34.61538461538461,96
S084,35-45,4-5,48,36.92307692307693,53
S085,25-35,2-3,72,55.38461538461539,171
S086,18-25,4-5,95,73.07692307692307,99
S087,35-45,2-3,24,18.461538461538463,57
S088,over 45,2-3,58,44.61538461538462,85
S089,18-25,1-2,100,76.92307692307693,72
S090,over 45,4-5,39,30.0,17
S091,over 45,1-2,103,79.23076923076923,29
S092,over 45,1-2,32,24.615384615384617,15
S093,over 45,4-5,105,80.76923076923077,56
S094,25-35,1-2,60,46.15384615384615,93
S095,35-45,4-5,110,84.61538461538461,56
S096,25-35,2-3,40,30.76923076923077,18
S097,over 45,2-3,128,98.46153846153848,23
S098,25-35,4-5,10,7.6923076923076925,163
S099,25-35,4-5,45,34.61538461538461,95
S100,35-45,1-2,59,45.38461538461539,77
S101,18-25,1-2,86,66.15384615384615,146
S102,18-25,4-5,103,79.23076923076923,174
S103,25-35,4-5,20,15.384615384615383,150
S104,18-25,1-2,108,83.07692307692308,131
S105,over 45,1-2,110,84.61538461538461,63
S106,35-45,4-5,92,70.76923076923077,2
S107,over 45,4-5,109,83.84615384615385,48
S108,25-35,4-5,8,6.153846153846154,50
S109,over 45,4-5,55,42.30769230769231,75
S110,25-35,2-3,82,63.07692307692307,171
S111,25-35,1-2,27,20.76923076923077,144
S112,over 45,4-5,113,86.92307692307692,59
